Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-03-02,FRA,France,Auvergne-Rhône-Alpes,45.283026,4.624017,37,0,0,37,0,0,True,True
2020-03-02,FRA,France,Bourgogne-Franche-Comté,47.234197,4.806917,8,0,0,8,0,0,True,True
2020-03-02,FRA,France,Bretagne,48.181767,-2.840778,13,0,0,13,0,0,True,True
2020-03-02,FRA,France,Grand Est,48.688738,5.613275,5,0,0,5,0,0,True,True
2020-03-02,FRA,France,Hauts-de-France,49.96966,2.770434,45,0,0,45,0,0,True,True
2020-03-02,FRA,France,Île-de-France,48.709229,2.503473,34,0,0,34,0,0,True,True
2020-03-02,FRA,France,Normandie,48.880101,-0.073045,2,0,0,2,0,0,True,True
2020-03-02,FRA,France,NOT SPECIFIED,,,23,3,0,20,0,0,True,True
2020-03-02,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,4,0,0,4,0,0,True,True
2020-03-02,FRA,France,Occitanie,43.703195,2.143601,6,0,0,6,0,0,True,True
2020-03-02,FRA,France,Pays de la Loire,47.479115,-0.811996,5,0,0,5,0,0,True,True
2020-03-02,FRA,France,Provence-Alpes-Côte d'Azur,43.956994,6.062951,9,0,0,9,0,0,True,True
2020-03-02,DEU,Germany,Baden-Württemberg,48.537648,9.049199,20,,,,,,True,True
2020-03-02,DEU,Germany,Bayern,48.947574,11.419913,26,,,,,,True,True
2020-03-02,DEU,Germany,Berlin,52.501532,13.40185,1,,,,,,True,True
2020-03-02,DEU,Germany,Bremen,53.108678,8.785951,1,,,,,,True,True
2020-03-02,DEU,Germany,Hamburg,53.54464,10.027798,2,,,,,,True,True
2020-03-02,DEU,Germany,Hessen,50.603242,9.031057,10,,,,,,True,True
2020-03-02,DEU,Germany,Niedersachsen,52.765527,9.162019,1,,,,,,True,True
2020-03-02,DEU,Germany,Nordrhein-Westfalen,51.479706,7.56208,90,,,,,,True,True
2020-03-02,DEU,Germany,Repatriierte,,,2,,,,,,True,True
2020-03-02,DEU,Germany,Rheinland-Pfalz,49.50932,7.909356,2,,,,,,True,True
2020-03-02,DEU,Germany,Schleswig Holstein,54.0295,9.705555,2,,,,,,True,True
2020-03-02,ITA,Italy,Abruzzo,42.228034,13.855137,5,0,0,5,3,0,True,True
2020-03-02,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,True,True
2020-03-02,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,True,True
2020-03-02,ITA,Italy,Campania,41.059945,14.785097,17,0,0,17,4,0,True,True
2020-03-02,ITA,Italy,Emilia-Romagna,44.536563,11.019909,335,11,0,324,164,16,True,True
2020-03-02,ITA,Italy,Friuli Venezia Giulia,46.155667,13.058636,9,0,0,9,0,0,True,True
2020-03-02,ITA,Italy,Lazio,41.981132,12.767224,7,0,3,4,3,0,True,True
2020-03-02,ITA,Italy,Liguria,44.144781,8.140492,22,0,4,18,13,1,True,True
2020-03-02,ITA,Italy,Lombardia,45.622479,9.770824,1254,38,139,1077,605,127,True,True
2020-03-02,ITA,Italy,Marche,43.366624,13.106678,35,1,0,34,23,6,True,True
2020-03-02,ITA,Italy,Piemonte,45.060965,7.926836,51,0,0,51,14,2,True,True
2020-03-02,ITA,Italy,Puglia,40.984631,16.620464,4,0,0,4,2,0,True,True
2020-03-02,ITA,Italy,Sicilia,37.587635,14.155497,7,0,2,5,2,0,True,True
2020-03-02,ITA,Italy,Toscana,43.459993,11.136697,13,0,1,12,7,0,True,True
2020-03-02,ITA,Italy,Umbria,42.966781,12.49094,2,0,0,2,0,0,True,True
2020-03-02,ITA,Italy,Veneto,45.664735,11.84235,273,2,0,271,67,14,True,True
2020-02-20,LVA,Latvia,Latvia,56.875584,24.607722,-1,0,0,-1,,,True,True
2020-03-02,ESP,Spain,Andalucía,37.46363,-4.573552,12,,,,,,True,True
2020-03-02,ESP,Spain,Canarias,28.291062,-16.55631,7,,,,,,True,True
2020-03-02,ESP,Spain,Cantabria,43.196326,-4.034401,10,,,,,,True,True
2020-03-02,ESP,Spain,Castilla y León,41.751205,-4.788185,8,,,,,,True,True
