Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-12-17,ALB,Albania,Berat,40.6285,20.090775,2034,41,1068,925,21,3,False,False,AL031
2020-12-17,ALB,Albania,Dibër,,,825,18,413,394,4,0,False,False,AL011
2020-12-17,ALB,Albania,Durrës,41.518365,19.651766,4128,116,2617,1395,16,1,False,False,AL012
2020-12-17,ALB,Albania,Elbasan,41.040028,20.186454,2998,99,1913,986,24,2,False,False,AL021
2020-12-17,ALB,Albania,Fier,40.774633,19.620528,4161,88,2330,1743,37,6,False,False,AL032
2020-12-17,ALB,Albania,Gjirokastër,,,1744,24,1165,555,15,0,False,False,AL033
2020-12-17,ALB,Albania,Korçë,40.62883,20.666004,3034,65,1879,1090,22,1,False,False,AL034
2020-12-17,ALB,Albania,Kukës,42.066696,20.419467,1220,23,739,458,10,1,False,False,AL013
2020-12-17,ALB,Albania,Lezhë,41.801452,19.845695,2327,40,1367,920,7,1,False,False,AL014
2020-12-17,ALB,Albania,NOT SPECIFIED,,,0,,,0,,,False,False,
2020-12-17,ALB,Albania,Shkodër,42.17682,19.719451,2966,65,1647,1254,18,1,False,False,AL015
2020-12-17,ALB,Albania,Tiranë,41.268583,19.793936,23456,438,10424,12594,172,6,False,False,AL022
2020-12-17,ALB,Albania,Vlorë,40.162418,19.793592,2531,38,1336,1157,21,4,False,False,AL035
2020-12-14,AND,Andorra,Andorra,42.542268,1.596865,7338,79,,7259,,,False,False,AD
2020-12-17,AUT,Austria,Burgenland,47.541449,16.520206,8667,147,7499,1021,65,8,True,True,AT11
2020-12-17,AUT,Austria,Kärnten,46.715832,14.455532,19202,380,11398,7424,264,22,True,True,AT21
2020-12-17,AUT,Austria,Niederösterreich,48.27051,15.763245,49057,718,36825,11514,351,82,True,True,AT12
2020-12-17,AUT,Austria,NOT SPECIFIED,,,0,0,0,0,0,0,True,True,
2020-12-17,AUT,Austria,Oberösterreich,48.138166,13.964295,67444,942,57605,8897,575,108,True,True,AT31
2020-12-17,AUT,Austria,Salzburg,47.254051,13.032653,25532,292,22268,2972,168,28,True,True,AT32
2020-12-17,AUT,Austria,Steiermark,47.187361,15.518046,38741,945,30257,7539,495,83,True,True,AT22
2020-12-17,AUT,Austria,Tirol,47.209023,11.397603,37833,462,34416,2955,195,55,True,True,AT33
2020-12-17,AUT,Austria,Vorarlberg,47.240149,9.896366,17900,196,16011,1693,104,19,True,True,AT34
2020-12-17,AUT,Austria,Wien,48.21141,16.380038,67995,935,19419,47641,473,125,True,True,AT13
2020-12-14,BLR,Belarus,Belarus,53.711111,27.973847,160295,1263,,159032,,,False,False,BY
2020-12-17,BEL,Belgium,Brussels,50.836426,4.367415,79316,2533,,76783,342,91,True,True,BE1
2020-12-17,BEL,Belgium,Flanders,51.036569,4.234165,259330,8876,,250454,1530,277,True,True,BE2
2020-12-17,BEL,Belgium,NOT SPECIFIED,,,10152,0,,10152,0,0,True,True,
2020-12-17,BEL,Belgium,Wallonia,50.312074,5.019093,269406,6962,,262444,815,193,True,True,BE3
2020-12-14,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,101117,3336,,97781,,,False,False,BA
2020-12-18,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,9842,10,10,9822,,,True,True,BG413
2020-12-18,BGR,Bulgaria,Burgas,42.491848,27.306892,10525,1,19,10505,,,True,True,BG341
2020-12-18,BGR,Bulgaria,Dobrich,43.65074,27.936751,3149,0,2,3147,,,True,True,BG332
2020-12-18,BGR,Bulgaria,Gabrovo,42.931879,25.247163,3961,1,2,3958,,,True,True,BG322
2020-12-18,BGR,Bulgaria,Haskovo,41.849113,25.942349,3522,1,7,3514,,,True,True,BG422
2020-12-18,BGR,Bulgaria,Kardzhali,41.527042,25.441477,1688,0,4,1684,,,True,True,BG425
2020-12-18,BGR,Bulgaria,Kyustendil,42.255307,22.869974,4266,3,20,4243,,,True,True,BG415
2020-12-18,BGR,Bulgaria,Lovech,43.035259,24.5688,2008,0,1,2007,,,True,True,BG315
2020-12-18,BGR,Bulgaria,Montana,43.496677,23.192363,2878,0,0,2878,,,True,True,BG312
2020-12-18,BGR,Bulgaria,NOT SPECIFIED,,,0,6194,93016,-99210,,,True,True,
2020-12-18,BGR,Bulgaria,Pazardzhik,42.133682,24.140941,4876,9,18,4849,,,True,True,BG423
2020-12-18,BGR,Bulgaria,Pernik,42.613861,22.853171,3404,0,1,3403,,,True,True,BG414
2020-12-18,BGR,Bulgaria,Pleven,43.486117,24.610919,4945,2,10,4933,,,True,True,BG314
2020-12-18,BGR,Bulgaria,Plovdiv,42.257364,24.824903,17643,5,64,17574,,,True,True,BG421
2020-12-18,BGR,Bulgaria,Razgrad,,,2004,0,0,2004,,,True,True,BG324
2020-12-18,BGR,Bulgaria,Ruse,43.54059,25.759217,6662,0,1,6661,,,True,True,BG323
2020-12-18,BGR,Bulgaria,Shumen,43.296516,27.004814,3915,1,1,3913,,,True,True,BG333
2020-12-18,BGR,Bulgaria,Silistra,43.946163,27.044927,2219,1,2,2216,,,True,True,BG325
2020-12-18,BGR,Bulgaria,Sliven,42.67034,26.241026,4705,11,56,4638,,,True,True,BG342
2020-12-18,BGR,Bulgaria,Smolyan,41.628892,24.668089,1940,4,33,1903,,,True,True,BG424
2020-12-18,BGR,Bulgaria,Sofia City,42.286287,23.616846,51882,56,411,51415,,,True,True,BG411
2020-12-18,BGR,Bulgaria,Sofia Region,,,5294,0,0,5294,,,True,True,BG412
2020-12-18,BGR,Bulgaria,Stara Zagora,42.411912,25.567329,8429,3,0,8426,,,True,True,BG344
2020-12-18,BGR,Bulgaria,Targovishte,,,2031,1,0,2030,,,True,True,BG334
2020-12-18,BGR,Bulgaria,Varna,43.186206,27.59493,13906,0,11,13895,,,True,True,BG331
2020-12-18,BGR,Bulgaria,Veliko Tarnovo,43.189524,25.649275,4065,4,5,4056,,,True,True,BG321
2020-12-18,BGR,Bulgaria,Vidin,43.797295,22.68621,1370,18,14,1338,,,True,True,BG311
2020-12-18,BGR,Bulgaria,Vratsa,43.395067,23.759152,3893,0,2,3891,,,True,True,BG313
2020-12-18,BGR,Bulgaria,Yambol,,,3266,14,18,3234,,,True,True,BG343
2020-12-18,HRV,Croatia,Bjelovarsko-bilogorska,45.739855,16.976657,3900,55,,3845,,,True,True,HR047
2020-12-18,HRV,Croatia,Brodsko-Posavska,45.142404,17.821388,6238,60,,6178,,,True,True,HR04A
2020-12-18,HRV,Croatia,Dubrovačko-neretvanska,42.662368,18.15083,3859,48,,3811,,,True,True,HR037
2020-12-18,HRV,Croatia,Grad Zagreb,45.742196,16.008116,37537,858,,36679,,,True,True,HR041
2020-12-18,HRV,Croatia,Istarska,45.203521,13.895312,4863,37,,4826,,,True,True,HR036
