Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-04T14:00:00,FRA,Auvergne-Rhône-Alpes,-1712,290,1712,1422,0,134
2020-04-04T14:00:00,FRA,Bourgogne-Franche-Comté,-845,166,845,679,0,123
2020-04-04T14:00:00,FRA,Bretagne,-247,45,247,202,0,29
2020-04-04T14:00:00,FRA,Centre-Val de Loire,-267,69,267,198,0,20
2020-04-04T14:00:00,FRA,Corse,-108,13,108,95,0,19
2020-04-04T14:00:00,FRA,Grand Est,-3615,636,3615,2979,0,584
2020-04-04T14:00:00,FRA,Guadeloupe,-28,7,28,21,0,0
2020-04-04T14:00:00,FRA,Hauts-de-France,-1190,271,1190,919,0,150
2020-04-04T14:00:00,FRA,Île-de-France,-6401,1269,6401,5132,0,460
2020-04-04T14:00:00,FRA,Martinique,-40,11,40,29,0,1
2020-04-04T14:00:00,FRA,Normandie,-348,75,348,273,0,20
2020-04-04T14:00:00,FRA,Nouvelle-Aquitaine,-495,96,495,399,0,34
2020-04-04T14:00:00,FRA,Occitanie,-728,177,728,551,0,54
2020-04-04T14:00:00,FRA,Pays de la Loire,-341,59,341,282,0,24
2020-04-04T14:00:00,FRA,Provence-Alpes-Côte d'Azur,-859,164,859,695,0,44
2020-04-04T14:00:00,CHE,Aargau,349,0,0,0,349,2
2020-04-04T14:00:00,CHE,Appenzell Ausserrhoden,43,0,0,0,43,2
2020-04-04T14:00:00,CHE,Appenzell Innerrhoden,11,0,0,0,11,0
2020-04-04T14:00:00,CHE,Baselland,422,0,0,0,422,5
2020-04-04T14:00:00,CHE,Basel-Stadt,505,0,0,0,505,12
2020-04-04T14:00:00,CHE,Bern,660,0,0,0,660,7
2020-04-04T14:00:00,CHE,Fribourg,309,0,0,0,309,11
2020-04-04T14:00:00,CHE,Genève,1743,0,0,0,1743,21
2020-04-04T14:00:00,CHE,Glarus,43,0,0,0,43,0
2020-04-04T14:00:00,CHE,Graubünden,373,0,0,0,373,9
2020-04-04T14:00:00,CHE,Jura,99,0,0,0,99,0
2020-04-04T14:00:00,CHE,Luzern,253,0,0,0,253,3
2020-04-04T14:00:00,CHE,Neuchatel,271,0,0,0,271,5
2020-04-04T14:00:00,CHE,Nidwalden,48,0,0,0,48,0
2020-04-04T14:00:00,CHE,Obwalden,27,0,0,0,27,0
2020-04-04T14:00:00,CHE,Schaffhausen,36,0,0,0,36,0
2020-04-04T14:00:00,CHE,Schwyz,99,0,0,0,99,1
2020-04-04T14:00:00,CHE,Solothurn,141,0,0,0,141,1
2020-04-04T14:00:00,CHE,St.Gallen,280,0,0,0,280,2
2020-04-04T14:00:00,CHE,Thurgau,110,0,0,0,110,1
2020-04-04T14:00:00,CHE,Ticino,1401,0,0,0,1401,67
2020-04-04T14:00:00,CHE,Uri,38,0,0,0,38,0
2020-04-04T14:00:00,CHE,Valais,715,0,0,0,715,15
2020-04-04T14:00:00,CHE,Vaud,2215,0,0,0,2215,21
2020-04-04T14:00:00,CHE,Zug,94,0,0,0,94,0
2020-04-04T14:00:00,CHE,Zürich,1578,0,0,0,1578,11
2020-04-04T14:00:00,MLT,Malta,213,0,0,0,213,0
2020-04-04T14:00:00,FIN,Ahvenanmaa,7,0,0,0,7,0
2020-04-04T14:00:00,FIN,Etelä-Karjala,9,0,0,0,9,0
2020-04-04T14:00:00,FIN,Etelä-Pohjanmaa,21,0,0,0,21,0
2020-04-04T14:00:00,FIN,Etelä-Savo,29,0,0,0,29,0
2020-04-04T14:00:00,FIN,HUS,1015,0,0,0,1015,0
2020-04-04T14:00:00,FIN,Itä-Savo,3,0,0,0,3,0
2020-04-04T14:00:00,FIN,Kainuu,8,0,0,0,8,0
2020-04-04T14:00:00,FIN,Kanta-Häme,23,0,0,0,23,0
2020-04-04T14:00:00,FIN,Keski-Pohjanmaa,7,0,0,0,7,0
2020-04-04T14:00:00,FIN,Keski-Suomi,54,0,0,0,54,0
2020-04-04T14:00:00,FIN,Kymenlaakso,12,0,0,0,12,0
2020-04-04T14:00:00,FIN,Länsi-Pohja,9,0,0,0,9,0
2020-04-04T14:00:00,FIN,Lappi,26,0,0,0,26,0
2020-04-04T14:00:00,FIN,NOT SPECIFIED,1025,0,0,0,1025,0
2020-04-04T14:00:00,FIN,Päijät-Häme,37,0,0,0,37,0
2020-04-04T14:00:00,FIN,Pirkanmaa,111,0,0,0,111,0
2020-04-04T14:00:00,FIN,Pohjois-Karjala,10,0,0,0,10,0
2020-04-04T14:00:00,FIN,Pohjois-Pohjanmaa,66,0,0,0,66,0
2020-04-04T14:00:00,FIN,Pohjois-Savo,43,0,0,0,43,0
2020-04-04T14:00:00,FIN,Satakunta,24,0,0,0,24,0
2020-04-04T14:00:00,FIN,Unknown,20,0,0,0,20,0
2020-04-04T14:00:00,FIN,Vaasa,21,0,0,0,21,0
2020-04-04T14:00:00,FIN,Varsinais-Suomi,80,0,0,0,80,0
2020-04-04T14:00:00,FIN,West North,2,0,0,0,2,0
2020-04-04T14:00:00,EST,Estonia,961,0,0,0,961,12
2020-04-04T14:00:00,DNK,Faroe,179,0,0,0,179,0
2020-04-04T14:00:00,DNK,Greenland,10,0,0,0,10,0
2020-04-04T14:00:00,DNK,Mainland,3757,0,0,0,3757,139
2020-04-04T14:00:00,CZE,Jihoceský,119,0,0,0,119,0
2020-04-04T14:00:00,CZE,Jihomoravský,252,0,0,0,252,0
2020-04-04T14:00:00,CZE,Karlovarský,141,0,0,0,141,0
2020-04-04T14:00:00,CZE,Královéhradecký,129,0,0,0,129,0
2020-04-04T14:00:00,CZE,Liberecký,140,0,0,0,140,0
2020-04-04T14:00:00,CZE,Moravskoslezský,376,0,0,0,376,0
2020-04-04T14:00:00,CZE,NOT SPECIFIED,0,0,0,0,0,53
2020-04-04T14:00:00,CZE,Olomoucký,380,0,0,0,380,0
2020-04-04T14:00:00,CZE,Pardubický,160,0,0,0,160,0
2020-04-04T14:00:00,CZE,Plzenský,209,0,0,0,209,0
2020-04-04T14:00:00,CZE,Prague,1118,0,0,0,1118,0
2020-04-04T14:00:00,CZE,Stredoceský,508,0,0,0,508,0
2020-04-04T14:00:00,CZE,Unknown,57,0,0,0,57,0
2020-04-04T14:00:00,CZE,Ústecký,285,0,0,0,285,0
2020-04-04T14:00:00,CZE,Vysocina,132,0,0,0,132,0
2020-04-04T14:00:00,CZE,Zlínský,188,0,0,0,188,0
2020-04-04T14:00:00,CYP,Cyprus,396,0,0,0,396,11
2020-04-04T14:00:00,HRV,Bjelovarsko-bilogorska,8,0,0,0,8,0
2020-04-04T14:00:00,HRV,Brodsko-Posavska,13,0,0,0,13,1
2020-04-04T14:00:00,HRV,Dubrovačko-neretvanska,55,0,0,0,55,0
2020-04-04T14:00:00,HRV,Grad Zagreb,298,0,0,0,298,4
2020-04-04T14:00:00,HRV,Istarska,73,0,0,0,73,2
2020-04-04T14:00:00,HRV,Karlovačka,21,0,0,0,21,1
2020-04-04T14:00:00,HRV,Koprivničko-križevačka,16,0,0,0,16,0
2020-04-04T14:00:00,HRV,Krapinsko-zagorska županija,69,0,0,0,69,0
2020-04-04T14:00:00,HRV,Ličko-senjska,2,0,0,0,2,0
2020-04-04T14:00:00,HRV,Međimurska,2,0,0,0,2,0
2020-04-04T14:00:00,HRV,Osječko-baranjska,71,0,0,0,71,0
2020-04-04T14:00:00,HRV,Požeško-slavonska,3,0,0,0,3,0
2020-04-04T14:00:00,HRV,Primorsko-Goranska,63,0,0,0,63,0
2020-04-04T14:00:00,HRV,Šibensko-kninska,29,0,0,0,29,0
2020-04-04T14:00:00,HRV,Sisačko-moslavačka,19,0,0,0,19,0
2020-04-04T14:00:00,HRV,Splitsko-Dalmatinska,154,0,0,0,154,0
2020-04-04T14:00:00,HRV,Unknow,1,0,0,0,1,0
