Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-11-28,ALB,Albania,41.156986,20.181222,36790,787,18152,17851,444,27,False,False,AL
2020-11-28,AND,Andorra,42.542268,1.596865,6610,76,,,,,False,False,AD
2020-11-27,AUT,Austria,47.697542,13.349319,274275,2822,155070,116383,3702,703,True,True,AT
2020-11-28,BLR,Belarus,53.711111,27.973847,131633,1136,,,,,False,False,BY
2020-11-27,BEL,Belgium,50.499527,4.475402,570829,16339,,,4213,998,True,True,BE
2020-11-28,BIH,Bosnia and Herzegovina,43.892652,17.670584,85431,2542,,,,,False,False,BA
2020-11-28,BGR,Bulgaria,42.729862,25.491667,139955,3680,46740,89535,,,True,True,BG
2020-11-28,HRV,Croatia,44.48732,16.460306,123694,1655,0,122039,,,True,True,HR
2020-11-28,CYP,Cyprus,35.167406,33.435499,9983,48,,,,,True,True,CY
2020-11-27,CZE,Czech Republic,49.800901,15.478153,515984,7967,425026,82991,,,True,True,CZ
2020-11-27,DNK,Denmark,56.155403,11.617223,76718,816,60312,15590,254,46,True,True,DK
2020-11-28,EST,Estonia,58.596209,25.023778,11323,104,,,,,True,True,EE
2020-11-28,FIN,Finland,64.952416,26.068944,24309,354,0,23955,,,True,True,FI
2020-11-27,FRA,France,46.232193,2.209667,2196119,35512,159915,2000692,28648,3883,True,True,FR
2020-11-28,DEU,Germany,51.165706,10.452764,1028091,15965,711000,301126,,,True,True,DE
2020-11-27,GRC,Greece,38.275283,23.810343,99306,2001,,,,,True,True,EL
2020-11-28,HUN,Hungary,47.164638,19.508944,204708,4516,54021,146171,7536,644,True,True,HU
2020-11-28,ISL,Iceland,64.963942,-19.021169,5346,26,,,,,False,True,IS
2020-11-28,IRL,Ireland,53.41975,-8.240472,71699,2043,,,243,,True,True,IE
2020-11-27,ITA,Italy,41.873987,12.564167,1538217,53677,696647,787893,37466,3782,True,True,IT
2020-11-28,LVA,Latvia,56.875584,24.607722,15808,190,,,,,True,True,LV
2020-11-28,LIE,Liechtenstein,47.164696,9.555,1273,15,0,1258,,,False,False,LI
2020-11-28,LTU,Lithuania,55.174112,23.906736,58212,482,,,,,True,True,LT
2020-11-28,LUX,Luxembourg,49.815764,6.131514,33409,300,,,,,True,True,LU
2020-11-27,MLT,Malta,35.946151,14.384612,9501,128,7297,2076,,,True,True,MT
2020-11-28,MDA,Moldova,46.979527,28.377195,104140,2250,,,,,False,False,MD
2020-11-28,MCO,Monaco,43.738348,7.424451,603,2,,,,,False,False,MC
2020-11-28,MNE,Montenegro,42.710152,19.410069,33836,474,,,,,False,True,ME
2020-11-27,NLD,Netherlands,52.133057,5.29525,508866,15405,0,493461,29318,0,True,True,NL
2020-11-28,MKD,North Macedonia,41.611,21.751417,59701,1658,,,,,False,True,MK
2020-11-26,NOR,Norway,64.583013,17.86411,33890,316,0,33574,1628,320,False,True,NO
2020-11-28,POL,Poland,51.92275,19.136875,958416,16147,,,,,True,True,PL
2020-11-27,PRT,Portugal,39.553444,-7.839319,285859,4276,199446,82137,3208,526,True,True,PT
2020-11-27,ROU,Romania,45.947125,24.980514,452139,10884,,,,,True,True,RO
2020-11-26,RUS,Russian Fed.,61.523111,-74.9,2187990,40178,1685492,462320,0,0,False,False,RU
2020-11-28,SMR,San Marino,43.942973,12.460035,1554,44,,,,,False,False,SM
2020-11-28,SRB,Serbia,44.206802,20.911009,155994,1423,,,,,False,True,RS
2020-11-27,SVK,Slovakia,48.665639,19.709097,103106,771,59285,43050,1685,101,True,True,SK
2020-11-26,SVN,Slovenia,46.145528,14.974541,72520,1293,3209,68018,1324,206,True,True,SI
2020-11-26,ESP,Spain,39.896027,-2.487694,1617355,44374,,,188624,15836,True,True,ES
2020-11-26,SWE,Sweden,62.199806,17.637493,243129,6681,,,,3208,True,True,SE
2020-11-26,CHE,Switzerland,46.815514,8.224472,308661,4476,30620,273565,3480,502,False,False,CH
2020-11-26,TUR,Turkey,38.961516,35.25175,467730,12840,,,,,False,True,TR
2020-11-26,UKR,Ukraine,48.379888,31.168139,661858,11492,,,,,False,False,UA
2020-11-26,GBR,United Kingdom,54.633221,-3.432277,1574572,57031,0,1517541,,,False,True,UK
