Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-05-10,ALB,Albania,41.156986,20.181222,856,62,0,794,0,0,False,False
2020-05-10,AND,Andorra,42.542268,1.596865,754,48,0,706,0,0,False,False
2020-05-11,AUT,Austria,47.697542,13.349319,15840,587,13991,1262,187,81,True,True
2020-05-10,BLR,Belarus,53.711111,27.973847,22052,126,0,21926,0,0,False,False
2020-05-10,BEL,Belgium,50.499527,4.475402,53470,8656,0,44814,0,0,True,True
2020-05-10,BIH,Bosnia and Herzegovina,43.892652,17.670584,993,35,0,958,0,0,False,False
2020-05-11,BGR,Bulgaria,42.729862,25.491667,1984,91,461,1432,0,0,True,True
2020-05-10,HRV,Croatia,44.48732,16.460306,2188,90,0,2098,0,0,True,True
2020-05-10,CYP,Cyprus,35.167406,33.435499,892,21,0,871,0,0,True,True
2020-05-11,CZE,Czech Republic,49.800901,15.478153,8121,280,4482,3359,0,0,True,True
2020-05-10,DNK,Denmark,56.155403,11.617223,10627,529,0,10098,0,0,True,True
2020-05-10,EST,Estonia,58.596209,25.023778,1739,60,0,1679,0,0,True,True
2020-05-11,FIN,Finland,64.952416,26.068944,6006,0,0,6006,0,0,True,True
2020-05-10,FRA,France,46.232193,2.209667,139063,16642,56217,66204,22569,2776,True,True
2020-05-11,DEU,Germany,51.165706,10.452764,169577,7417,145600,16560,0,0,True,True
2020-05-10,GRC,Greece,38.275283,23.810343,2710,151,270,2289,330,0,True,True
2020-05-11,HUN,Hungary,47.164638,19.508944,3284,421,0,2863,0,0,True,True
2020-05-10,ISL,Iceland,64.963942,-19.021169,1801,0,0,1801,0,0,False,True
2020-05-10,IRL,Ireland,53.41975,-8.240472,22760,1446,0,21314,0,0,True,True
2020-05-10,ITA,Italy,41.873987,12.564167,219070,30560,105186,83324,14645,1027,True,True
2020-05-10,LVA,Latvia,56.875584,24.607722,930,18,0,912,0,0,True,True
2020-05-10,LIE,Liechtenstein,47.164696,9.555,83,1,0,82,0,0,False,False
2020-05-10,LTU,Lithuania,55.174112,23.906736,1444,50,0,1394,0,0,True,True
2020-05-09,LUX,Luxembourg,49.815764,6.131514,3886,101,879,2906,78,14,True,True
2020-05-10,MLT,Malta,35.946151,14.384612,496,5,433,58,0,0,True,True
2020-05-10,MDA,Moldova,46.979527,28.377195,4867,161,0,4706,0,0,False,False
2020-05-10,MCO,Monaco,43.738348,7.424451,96,4,0,92,0,0,False,False
2020-05-10,MNE,Montenegro,42.710152,19.410069,324,8,0,316,0,0,False,True
2020-05-10,NLD,Netherlands,52.133057,5.29525,42627,5440,0,37187,0,0,True,True
2020-05-10,MKD,North Macedonia,41.611,21.751417,1622,91,0,1531,0,0,False,True
2020-05-08,NOR,Norway,64.583013,17.86411,7846,213,0,7633,0,0,False,True
2020-05-11,POL,Poland,51.92275,19.136875,16206,803,0,15403,0,0,True,True
2020-05-08,PRT,Portugal,39.553444,-7.839319,27289,1801,610,24878,0,228,True,True
2020-05-10,ROU,Romania,45.947125,24.980514,15131,945,6912,7274,0,0,True,True
2020-05-09,RUS,Russian Fed.,61.523111,-74.9,198746,1827,0,196919,0,0,False,False
2020-05-10,SMR,San Marino,43.942973,12.460035,637,41,0,596,0,0,False,False
2020-05-10,SRB,Serbia,44.206802,20.911009,10032,213,0,9819,0,0,False,True
2020-05-11,SVK,Slovakia,48.665639,19.709097,1457,26,959,472,118,5,True,True
2020-05-10,SVN,Slovenia,46.145528,14.974541,2756,102,257,2397,42,10,True,True
2020-05-10,ESP,Spain,39.896027,-2.487694,224390,26621,136166,61603,122730,11328,True,True
2020-05-10,SWE,Sweden,62.199806,17.637493,26322,3225,0,23097,0,1723,True,True
2020-05-11,CHE,Switzerland,46.815514,8.224472,29669,1834,5034,22801,673,95,False,False
2020-05-10,TUR,Turkey,38.961516,35.25175,138657,3786,0,134871,0,0,False,True
2020-05-10,UKR,Ukraine,48.379888,31.168139,15232,391,3060,11781,0,0,False,False
2020-05-09,GBR,United Kingdom,54.633221,-3.432277,215260,31587,0,183673,0,0,False,True
