Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-11-06,ALB,Albania,41.156986,20.181222,23210,549,11861,10800,341,9,False,False,AL
2020-11-06,AND,Andorra,42.542268,1.596865,5135,75,,,,,False,False,AD
2020-11-05,AUT,Austria,47.697542,13.349319,138604,1295,68965,68344,2330,407,True,True,AT
2020-11-07,BLR,Belarus,53.711111,27.973847,104286,1001,,,,,False,False,BY
2020-11-06,BEL,Belgium,50.499527,4.475402,488044,12708,,,7208,1459,True,True,BE
2020-11-07,BIH,Bosnia and Herzegovina,43.892652,17.670584,59427,1457,,,,,False,False,BA
2020-11-07,BGR,Bulgaria,42.729862,25.491667,72184,1576,23436,47172,,,True,True,BG
2020-11-06,HRV,Croatia,44.48732,16.460306,62306,717,0,61589,,,True,True,HR
2020-11-07,CYP,Cyprus,35.167406,33.435499,5557,27,,,,,True,True,CY
2020-11-05,CZE,Czech Republic,49.800901,15.478153,378716,4133,199763,174820,,,True,True,CZ
2020-11-06,DNK,Denmark,56.155403,11.617223,53180,738,38627,13815,191,23,True,True,DK
2020-11-07,EST,Estonia,58.596209,25.023778,5705,73,,,,,True,True,EE
2020-11-06,FIN,Finland,64.952416,26.068944,17387,354,0,17033,,,True,True,FI
2020-11-06,FRA,France,46.232193,2.209667,1661853,27356,126329,1508168,28979,4331,True,True,FR
2020-11-07,DEU,Germany,51.165706,10.452764,642490,11226,412000,219264,,,True,True,DE
2020-11-07,GRC,Greece,38.275283,23.810343,52254,715,,,,,True,True,EL
2020-11-07,HUN,Hungary,47.164638,19.508944,104943,2357,24847,77739,5612,405,True,True,HU
2020-11-07,ISL,Iceland,64.963942,-19.021169,5039,18,,,,,False,True,IS
2020-11-07,IRL,Ireland,53.41975,-8.240472,64538,1940,,,279,,True,True,IE
2020-11-06,ITA,Italy,41.873987,12.564167,862681,40638,322925,499118,26520,2515,True,True,IT
2020-11-07,LVA,Latvia,56.875584,24.607722,7476,95,,,,,True,True,LV
2020-11-07,LIE,Liechtenstein,47.164696,9.555,753,3,0,750,,,False,False,LI
2020-11-07,LTU,Lithuania,55.174112,23.906736,20747,192,,,,,True,True,LT
2020-11-07,LUX,Luxembourg,49.815764,6.131514,21806,180,,,,,True,True,LU
2020-11-06,MLT,Malta,35.946151,14.384612,6893,73,4832,1988,,,True,True,MT
2020-11-07,MDA,Moldova,46.979527,28.377195,80501,1882,,,,,False,False,MD
2020-11-07,MCO,Monaco,43.738348,7.424451,454,1,,,,,False,False,MC
2020-11-07,MNE,Montenegro,42.710152,19.410069,22079,328,,,,,False,True,ME
2020-11-06,NLD,Netherlands,52.133057,5.29525,397730,14025,0,383705,27615,0,True,True,NL
2020-11-07,MKD,North Macedonia,41.611,21.751417,37499,1096,,,,,False,True,MK
2020-11-06,NOR,Norway,64.583013,17.86411,23052,285,0,22767,1325,266,False,True,NO
2020-11-07,POL,Poland,51.92275,19.136875,521640,7636,,,,,True,True,PL
2020-11-06,PRT,Portugal,39.553444,-7.839319,166921,2792,93754,70375,2425,340,True,True,PT
2020-11-06,ROU,Romania,45.947125,24.980514,281676,7540,,,,,True,True,RO
2020-11-06,RUS,Russian Fed.,61.523111,-74.9,1733440,32003,1296124,405313,0,0,False,False,RU
2020-11-06,SMR,San Marino,43.942973,12.460035,1043,42,,,,,False,False,SM
2020-11-07,SRB,Serbia,44.206802,20.911009,57958,871,,,,,False,True,RS
2020-11-06,SVK,Slovakia,48.665639,19.709097,71088,317,16990,53781,1742,112,True,True,SK
2020-11-05,SVN,Slovenia,46.145528,14.974541,42589,497,1541,40551,1069,168,True,True,SI
2020-11-05,ESP,Spain,39.896027,-2.487694,1306316,38486,,,165515,13913,True,True,ES
2020-11-05,SWE,Sweden,62.199806,17.637493,146461,6022,,,,2794,True,True,SE
2020-11-07,CHE,Switzerland,46.815514,8.224472,209540,2791,16523,190226,3419,420,False,False,CH
2020-11-07,TUR,Turkey,38.961516,35.25175,389256,10722,,,,,False,True,TR
2020-11-07,UKR,Ukraine,48.379888,31.168139,440188,8125,,,,,False,False,UA
2020-11-06,GBR,United Kingdom,54.633221,-3.432277,1146494,48475,0,1098019,,,False,True,UK
